PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, GP, W, L, W_PCT, MIN, DEF_RATING, DREB, DREB_PCT, PCT_DREB, STL, PCT_STL, BLK, PCT_BLK, OPP_PTS_OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, DEF_RATING_RANK, DREB_RANK, DREB_PCT_RANK, PCT_DREB_RANK, STL_RANK, PCT_STL_RANK, BLK_RANK, PCT_BLK_RANK, OPP_PTS_OFF_TOV_RANK, OPP_PTS_2ND_CHANCE_RANK, OPP_PTS_FB_RANK, OPP_PTS_PAINT_RANK, DEF_WS_RANK, CFPARAMS
1517, Bobby Jackson, 1610612758, SAC, 31.0, 50, 35, 15, 0.7, 23.8, 100.5, 2.4, 0.111, 0.161, 1.0, 0.23, 0.2, 0.085, 6.9, 7.2, 5.4, 20.3, 0.023, 282, 139, 101, 44, 170, 234, 202, 281, 280, 105, 126, 288, 278, 231, 297, 252, 299, 178, 1517,1610612758
2250, Bobby Simmons, 1610612746, LAC, 24.0, 56, 20, 36, 0.357, 24.5, 103.3, 2.6, 0.125, 0.175, 0.9, 0.242, 0.3, 0.135, 8.5, 6.5, 4.5, 20.2, 0.015, 248, 286, 297, 343, 158, 336, 176, 240, 240, 117, 104, 182, 213, 292, 269, 203, 296, 267, 2250,1610612746
1719, Bonzi Wells, 1610612763, MEM, 27.0, 72, 45, 27, 0.625, 26.0, 99.6, 2.5, 0.112, 0.163, 1.3, 0.253, 0.3, 0.079, 9.1, 7.9, 6.9, 20.8, 0.028, 147, 59, 209, 100, 147, 193, 192, 279, 275, 47, 78, 207, 288, 314, 319, 313, 307, 125, 1719,1610612763
2564, Boris Diaw, 1610612737, ATL, 22.0, 76, 28, 48, 0.368, 25.2, 102.2, 3.0, 0.138, 0.194, 0.8, 0.192, 0.5, 0.186, 10.5, 6.8, 7.1, 20.8, 0.019, 111, 206, 409, 338, 150, 302, 135, 211, 213, 156, 219, 114, 170, 356, 278, 321, 306, 222, 2564,1610612737
2411, Bostjan Nachbar, 1610612745, HOU, 23.0, 45, 25, 20, 0.556, 11.3, 97.0, 1.4, 0.136, 0.184, 0.3, 0.219, 0.3, 0.259, 4.6, 3.4, 2.6, 5.9, 0.016, 294, 228, 132, 141, 343, 103, 323, 217, 226, 338, 148, 176, 129, 135, 119, 85, 57, 254, 2411,1610612745
1802, Brad Miller, 1610612758, SAC, 28.0, 72, 49, 23, 0.681, 36.5, 100.7, 7.7, 0.228, 0.324, 0.9, 0.148, 1.2, 0.376, 11.2, 10.5, 9.4, 31.3, 0.035, 147, 43, 157, 57, 42, 246, 7, 31, 31, 110, 309, 38, 78, 383, 413, 410, 420, 81, 1802,1610612758
2220, Brandon Armstrong, 1610612751, NJN, 24.0, 56, 31, 25, 0.554, 7.6, 107.4, 0.6, 0.092, 0.13, 0.2, 0.194, 0.0, 0.059, 3.5, 2.1, 1.9, 5.8, 0.001, 248, 183, 182, 142, 391, 403, 409, 346, 349, 376, 216, 386, 325, 79, 49, 45, 54, 403, 2220,1610612751
2599, Brandon Hunter, 1610612738, BOS, 23.0, 36, 14, 22, 0.389, 11.2, 97.2, 1.9, 0.185, 0.245, 0.4, 0.146, 0.0, 0.043, 4.2, 2.8, 3.1, 8.6, 0.016, 329, 329, 149, 325, 344, 108, 258, 94, 118, 314, 322, 394, 353, 105, 81, 118, 103, 253, 2599,1610612738
2217, Brendan Haywood, 1610612764, WAS, 24.0, 77, 24, 53, 0.312, 19.4, 99.0, 2.6, 0.159, 0.224, 0.4, 0.117, 1.3, 0.645, 7.4, 5.1, 6.0, 14.5, 0.022, 102, 244, 424, 373, 226, 165, 178, 157, 162, 293, 367, 31, 15, 255, 205, 284, 215, 187, 2217,1610612764
699, Brent Barry, 1610612760, SEA, 32.0, 59, 30, 29, 0.508, 30.6, 105.5, 3.1, 0.118, 0.172, 1.4, 0.278, 0.3, 0.083, 11.3, 9.8, 8.8, 24.8, 0.01, 232, 191, 233, 188, 103, 383, 129, 264, 252, 30, 52, 204, 282, 384, 392, 395, 345, 329, 699,1610612760
1510, Brevin Knight, 1610612749, MIL, 28.0, 56, 18, 38, 0.321, 18.5, 99.4, 1.8, 0.115, 0.163, 1.5, 0.359, 0.0, 0.012, 6.5, 4.9, 5.2, 13.9, 0.021, 248, 303, 318, 366, 235, 184, 271, 273, 273, 27, 10, 397, 394, 212, 198, 244, 210, 207, 1510,1610612749
2073, Brian Cardinal, 1610612744, GSW, 27.0, 76, 32, 44, 0.421, 21.5, 100.9, 2.9, 0.156, 0.215, 0.9, 0.257, 0.3, 0.137, 6.0, 5.9, 4.0, 15.6, 0.02, 111, 177, 381, 289, 194, 259, 156, 168, 175, 130, 75, 208, 211, 197, 244, 173, 232, 220, 2073,1610612744
2567, Brian Cook, 1610612747, LAL, 23.0, 35, 23, 12, 0.657, 12.5, 100.6, 2.0, 0.19, 0.26, 0.5, 0.198, 0.5, 0.432, 3.3, 3.7, 3.3, 9.3, 0.012, 332, 253, 86, 79, 320, 242, 243, 79, 96, 273, 207, 121, 55, 65, 139, 136, 122, 302, 2567,1610612747
258, Brian Grant, 1610612748, MIA, 32.0, 76, 40, 36, 0.526, 30.3, 99.4, 4.6, 0.183, 0.244, 0.7, 0.144, 0.5, 0.226, 9.6, 7.1, 6.3, 20.9, 0.034, 111, 95, 297, 169, 105, 181, 54, 97, 123, 190, 326, 118, 148, 328, 294, 292, 308, 86, 258,1610612748
2243, Brian Scalabrine, 1610612751, NJN, 26.0, 69, 43, 26, 0.623, 13.3, 95.8, 1.9, 0.168, 0.231, 0.3, 0.148, 0.2, 0.212, 5.0, 3.3, 3.3, 9.3, 0.021, 177, 67, 194, 103, 302, 82, 256, 134, 145, 340, 311, 257, 153, 156, 115, 133, 120, 205, 2243,1610612751
1730, Brian Skinner, 1610612749, MIL, 28.0, 56, 29, 27, 0.518, 28.2, 104.7, 5.2, 0.208, 0.286, 0.5, 0.158, 1.1, 0.439, 8.6, 7.3, 8.0, 25.2, 0.012, 248, 195, 209, 182, 125, 369, 34, 58, 60, 240, 288, 41, 53, 294, 303, 351, 350, 304, 1730,1610612749
2639, Britton Johnsen, 1610612753, ORL, 24.0, 20, 4, 16, 0.2, 14.6, 105.5, 1.5, 0.127, 0.19, 0.4, 0.175, 0.1, 0.083, 5.2, 4.9, 3.4, 11.7, 0.005, 369, 394, 112, 424, 275, 382, 300, 237, 218, 320, 252, 373, 282, 165, 196, 138, 169, 385, 2639,1610612753
1477, Bruce Bowen, 1610612759, SAS, 33.0, 82, 57, 25, 0.695, 32.0, 90.4, 2.5, 0.086, 0.115, 1.0, 0.202, 0.4, 0.085, 9.7, 7.7, 7.4, 24.0, 0.073, 3, 7, 182, 46, 86, 26, 189, 372, 384, 90, 192, 137, 277, 329, 315, 334, 331, 4, 1477,1610612759
1743, Bruno Sundov, 1610612752, NYK, 24.0, 5, 1, 4, 0.2, 6.1, 84.2, 1.6, 0.267, 0.32, 0.0, 0.0, 0.0, 0.0, 1.8, 1.8, 0.8, 4.8, 0.019, 418, 424, 30, 424, 405, 12, 290, 7, 34, 419, 419, 398, 398, 26, 36, 19, 34, 223, 1743,1610612752
1724, Bryce Drew, 1610612740, NOH, 29.0, 15, 9, 6, 0.6, 5.1, 108.2, 0.4, 0.098, 0.143, 0.3, 0.211, 0.0, 0.0, 2.5, 1.2, 2.4, 4.3, 0.0, 389, 368, 49, 117, 419, 411, 423, 325, 315, 353, 162, 398, 398, 45, 20, 75, 31, 409, 1724,1610612740
935, Bryon Russell, 1610612747, LAL, 33.0, 72, 46, 26, 0.639, 13.0, 99.7, 1.6, 0.144, 0.202, 0.4, 0.234, 0.2, 0.164, 4.0, 3.7, 2.8, 9.7, 0.014, 147, 56, 194, 92, 314, 194, 295, 197, 195, 280, 118, 283, 190, 97, 138, 100, 133, 277, 935,1610612747
384, Calbert Cheaney, 1610612744, GSW, 32.0, 79, 37, 42, 0.468, 26.1, 100.8, 2.3, 0.103, 0.141, 0.8, 0.191, 0.2, 0.064, 8.2, 7.0, 6.5, 20.9, 0.024, 77, 123, 365, 233, 144, 254, 208, 312, 326, 167, 221, 294, 314, 279, 285, 295, 309, 160, 384,1610612744
1916, Calvin Booth, 1610612760, SEA, 28.0, 71, 31, 40, 0.437, 16.9, 104.0, 2.7, 0.178, 0.274, 0.2, 0.094, 1.4, 0.647, 6.4, 6.1, 4.9, 13.2, 0.009, 160, 183, 338, 274, 256, 353, 169, 106, 75, 370, 399, 25, 14, 208, 252, 223, 197, 344, 1916,1610612760
2306, Carlos Arroyo, 1610612762, UTA, 24.0, 71, 35, 36, 0.493, 28.2, 102.6, 2.0, 0.091, 0.127, 0.9, 0.227, 0.1, 0.018, 9.4, 7.1, 7.3, 19.9, 0.02, 160, 139, 297, 214, 126, 314, 240, 349, 352, 127, 135, 358, 385, 322, 295, 329, 294, 218, 2306,1610612762
2430, Carlos Boozer, 1610612739, CLE, 22.0, 75, 34, 41, 0.453, 34.6, 101.2, 8.4, 0.268, 0.365, 1.0, 0.185, 0.7, 0.155, 11.0, 9.2, 9.3, 28.7, 0.031, 120, 158, 353, 246, 66, 271, 4, 5, 6, 102, 237, 75, 195, 379, 369, 409, 401, 107, 2430,1610612739
2546, Carmelo Anthony, 1610612743, DEN, 20.0, 82, 43, 39, 0.524, 36.5, 101.6, 3.8, 0.122, 0.175, 1.2, 0.17, 0.5, 0.109, 12.6, 10.7, 11.0, 33.9, 0.031, 3, 67, 326, 171, 44, 283, 83, 254, 241, 59, 260, 106, 244, 415, 419, 432, 436, 108, 2546,1610612743
2406, Caron Butler, 1610612748, MIA, 24.0, 68, 39, 29, 0.574, 29.8, 98.3, 3.4, 0.138, 0.187, 1.1, 0.229, 0.2, 0.084, 8.7, 7.4, 6.0, 21.2, 0.038, 186, 105, 233, 131, 110, 143, 102, 212, 222, 76, 129, 269, 280, 296, 305, 281, 310, 68, 2406,1610612748
2418, Casey Jacobsen, 1610612756, PHX, 23.0, 78, 25, 53, 0.321, 23.5, 100.0, 2.0, 0.099, 0.14, 0.6, 0.144, 0.1, 0.057, 8.4, 7.0, 5.8, 19.7, 0.024, 91, 228, 424, 368, 172, 213, 239, 323, 331, 209, 325, 314, 328, 287, 287, 266, 291, 161, 2418,1610612756
2456, Cezary Trybanski, 1610612752, NYK, 24.0, 7, 2, 5, 0.286, 1.8, 100.6, 0.1, 0.125, 0.167, 0.1, 0.25, 0.1, 0.25, 0.6, 0.0, 0.6, 1.4, 0.002, 407, 413, 36, 391, 442, 245, 434, 240, 263, 401, 81, 297, 133, 8, 1, 13, 4, 401, 2456,1610612752
891, Charles Oakley, 1610612745, HOU, 40.0, 7, 2, 5, 0.286, 3.4, 123.8, 0.7, 0.217, 0.417, 0.0, 0.0, 0.0, 0.0, 1.0, 1.7, 1.1, 1.7, -0.007, 407, 413, 36, 391, 435, 434, 397, 43, 1, 419, 419, 398, 398, 12, 31, 24, 6, 434, 891,1610612745
369, Charlie Ward, 1610612759, SAS, 33.0, 71, 38, 33, 0.535, 17.6, 96.8, 1.9, 0.119, 0.159, 0.9, 0.323, 0.2, 0.085, 6.3, 4.3, 3.8, 12.8, 0.026, 160, 114, 273, 158, 243, 93, 259, 260, 282, 121, 19, 293, 279, 202, 167, 161, 189, 141, 369,1610612759
