Player,<5Ft FGM,<5Ft FGA,<5Ft FG%,5-9 Ft FGM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year
Dee Brown,11.2,22.2,0.503,1.3,2.3,0.585,1.5,2.6,0.588,2,3.5,0.562,3.4,8.9,0.385,0.3,0.9,0.286,1996
Dell Curry,11.1,26.3,0.421,1.8,3.6,0.509,2.2,4.4,0.505,3.6,7.1,0.512,4.4,9.1,0.482,0.5,1.3,0.4,1996
Dell Demps,1.5,3,0.5,1,1,1,1,1,1,0,5,0,1,1.5,0.667,0,0,0,1996
Dennis Rodman,11.2,22.6,0.498,2.6,5.5,0.478,2.7,7,0.387,3.9,10.6,0.369,4.4,11.9,0.368,0.4,1.6,0.271,1996
Dennis Scott,12.3,21.5,0.571,2.4,5.7,0.414,2.3,5.7,0.394,3.3,8.2,0.4,4,11,0.365,0.2,1,0.156,1996
Derek Fisher,3.9,7.4,0.526,1,2.3,0.435,1,2.5,0.411,1.3,3.3,0.402,1.1,3.6,0.311,0.2,0.9,0.257,1996
Derek Harper,9.8,17,0.576,2,4.7,0.423,2.2,5.7,0.385,3.5,8.8,0.403,4.3,11.2,0.38,0.5,1.2,0.404,1996
Derek Strong,9.2,16.3,0.562,1.9,4.5,0.415,1.6,4.2,0.383,2.4,5.6,0.42,2.8,8.3,0.334,0.2,0.7,0.3,1996
Derrick Alston,2.5,3.5,0.714,0,0.5,0,0.5,1.5,0.333,1,1,1,1,2.5,0.4,0,1,0,1996
Derrick Coleman,15,27.5,0.548,2.8,5.2,0.528,3,7.7,0.39,3.9,9.2,0.419,4.1,10.6,0.383,1.6,5.4,0.296,1996
Derrick McKey,9.3,17.5,0.534,1.4,4,0.351,2.4,6,0.397,3.3,8,0.411,4.2,10.9,0.386,0.4,1.4,0.273,1996
Detlef Schrempf,10.7,21.3,0.503,2.3,5.3,0.428,2.4,6.4,0.381,4,9.6,0.415,5.2,13.8,0.375,0.9,1.9,0.467,1996
Devin Gray,4.3,7.2,0.605,0.3,1.7,0.2,1.8,2,0.875,1.2,1.5,0.778,0.8,2.2,0.385,0,0,0,1996
Dexter Boney,3,4.6,0.649,0.8,2,0.375,0.7,3.7,0.182,1.2,1.4,0.857,1.3,3.5,0.381,0,0.7,0,1996
Dickey Simpkins,2.7,5.5,0.5,0.9,1.6,0.557,0.7,1.7,0.444,0.7,2.2,0.327,1.5,3.8,0.398,0,0.7,0,1996
Dikembe Mutombo,10.4,21.9,0.476,2.6,6.1,0.422,3.2,7.8,0.408,4.7,11.1,0.424,4.4,12.2,0.36,0.3,1.2,0.294,1996
Dino Radja,14.4,29.8,0.484,2.1,4.3,0.486,2.9,5.8,0.493,3.3,6.7,0.494,4.2,11.4,0.364,0.6,1.4,0.417,1996
Dominique Wilkins,12.6,21.1,0.598,1.7,3.6,0.48,2.3,5.2,0.443,3,8,0.382,4.7,11.3,0.416,0.4,1.4,0.255,1996
Don MacLean,8.4,15.5,0.543,1.6,2.8,0.586,1.9,4.2,0.448,1.9,4.5,0.428,2.1,5.6,0.377,0.9,3,0.309,1996
